121080; OLEO CARTAMO+CHIA ; OLEO CARTAMO CHIA; NOT FOUND; CAPS 1000 MG x 120; EC0
121057; OLEO DE CARTAMO ; OLEO CARTAMO; NOT FOUND; CAPS 1000 MG x 140; EC0
121064; OLEO DE LINHACA ; OLEO LINHACA; NOT FOUND; CAPS 1000 MG x 120; EC0
121070; OLEO DE LINHACA ; OLEO LINHACA; NOT FOUND; CAPS 500 MG x 120; EC0
156000; OMEGA TRIPLO PEIXE ; OMEGA TRIPLO PEIXE; NOT FOUND; C O3/6/9 PPB 1000 MG x 60; EC0
