123763; CALCITABS ; CALCITABS; NOT FOUND; COMPR D3 x 90; DLW
96177; CALCITABS ; CALCITABS; NOT FOUND; CPR D 600 MG x 90; DLW
92853; CALCIUM 600 ; CALCIUM 600; NOT FOUND; CPR 600 MG x 100; DLW
123771; COMPLEXO B ; COMPLEXO B; NOT FOUND; DRAG x 100; DLW
