80322; METAMUCIL ; METAMUCIL; NOT FOUND; KIT P LA+CO 174 G x 1; PRG
50362; METAMUCIL ; METAMUCIL; NOT FOUND; P.SOL SOB NA 5.85 G x 10; PRG
55539; METAMUCIL ; METAMUCIL; NOT FOUND; PO NARANJA 174 G x 1; PRG
