1052500040034; TORLÓS H; TORLOS H; NOT FOUND; 50 MG + 12.5 MG COM REV CT 2 BL AL/AL X 7; TNT
1052500040042; TORLÓS H; TORLOS H; NOT FOUND; 50 MG + 12.5 MG COM REV CT 4 BL AL/AL X 7; TNT
1052500040050; TORLOS H; TORLOS H; NOT FOUND; 50 MG + 12.5 MG COM REV CT BL AL/AL X 30; TNT
1052500040093; TORLOS H; TORLOS H; NOT FOUND; 100MG + 25MG COM REV CT BL AL/AL X 30; TNT
1052500050048; TORLÓS; TORLOS; NOT FOUND; 25 MG COM REV CT  BL AL/AL X 28; TNT
1052500050064; TORLÓS; TORLOS; NOT FOUND; 50 MG COM REV CT BL AL/AL X 14; TNT
1052500050080; TORLÓS; TORLOS; NOT FOUND; 50 MG COM REV CT BL AL/AL X 28; TNT
1052500050099; TORLÓS; TORLOS; NOT FOUND; 100 MG COM REV CT BL AL/AL X 10 ; TNT
1052500050137; TORLÓS; TORLOS; NOT FOUND; 100 MG COM REV CT BL AL/AL X 30; TNT
1052500050161; TORLÓS; TORLOS; NOT FOUND; 50 MG COM REV CT BL AL/AL X 30; TNT
