86929; ZINQUA ; ZINQUA; NOT FOUND; CAPS x 30; MD6
86204; ZINQUA ; ZINQUA; NOT FOUND; CAPS x 60; MD6
86205; ZINQUA FEMME ; ZINQUA FEMME; NOT FOUND; CAPS x 30; MD6
86206; ZINQUA FEMME ; ZINQUA FEMME; NOT FOUND; CAPS x 60; MD6
