58777; PRIMOGYNA ; PRIMOGYNA; NOT FOUND; DRAG 1 MG x 28; BYP
86884; PRIMOGYNA ; PRIMOGYNA; NOT FOUND; DRAG 2 MG x 28; BYP
8629; PRIMOLUT NOR ; PRIMOLUT NOR; NOT FOUND; CPR 10 MG x 30; BYP
8635; PRIMOSISTON ; PRIMOSISTON; NOT FOUND; CPR x 30; BYP
81161; PROMIRA ; PROMIRA; NOT FOUND; CPR 400 MG x 5; BYP
81159; PROMIRA ; PROMIRA; NOT FOUND; CPR 400 MG x 7; BYP
8771; PROVIRON ; PROVIRON; NOT FOUND; CPR 25 MG x 20; BYP
