517113050011504; FEMURID; FEMURID; NOT FOUND; 500 MG + 210 UI COM REV CT FR PLAS OPC X 60; ELO
517113050011604; FEMURID; FEMURID; NOT FOUND; 500 MG + 210 UI COM REV CX 10 FR PLAS OPC X 60 (EMB HOSP); ELO
517113050011704; FEMURID; FEMURID; NOT FOUND; 500 MG + 210 UI COM REV CX 25 FR PLAS OPC X 60 (EMB HOSP); ELO
517113050011804; FEMURID; FEMURID; NOT FOUND; 500 MG + 210 UI COM REV CX 50 FR PLAS OPC X 60 (EMB HOSP); ELO
