542614030001204; KOTICO; KOTICO; NOT FOUND; 10 MG COM REV CT BL AL/AL X 15; SP0
542614030001304; KOTICO; KOTICO; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; SP0
542614030000804; KOTICO; KOTICO; NOT FOUND; 2.5 MG COM REV CT BL AL/AL X 15 ; SP0
542614030000904; KOTICO; KOTICO; NOT FOUND; 2.5 MG COM REV CT BL AL/AL X 30; SP0
542614030001004; KOTICO; KOTICO; NOT FOUND; 5 MG COM REV CT BL AL/AL X 15  ; SP0
542614030001104; KOTICO; KOTICO; NOT FOUND; 5 MG COM REV CT BL AL/AL X 30; SP0
