95710; DAX PREVENT ; DAX PREVENT; NOT FOUND; CREME 60 G x 1; IQB
72112; DIAZIDERM ; DIAZIDERM; NOT FOUND; CREME DERMAT 60 G x 1; IQB
72111; DIAZIDERM ; DIAZIDERM; NOT FOUND; CREME VAG. 45 G x 1; IQB
48790; DONNAGEL ; DONNAGEL; NOT FOUND; CR.VAG.C/APL 45 G x 1; IQB
