57751; LOSARTEC ; LOSARTEC; NOT FOUND; CPR 25 MG x 10; MJA
57752; LOSARTEC ; LOSARTEC; NOT FOUND; CPR 25 MG x 30; MJA
57753; LOSARTEC ; LOSARTEC; NOT FOUND; CPR 50 MG x 10; MJA
57754; LOSARTEC ; LOSARTEC; NOT FOUND; CPR 50 MG x 30; MJA
