65969, CALDE , CALDE, NOT FOUND, CPR MASC x 60, MJA
115846, CALDE K2 , CALDE K2, NOT FOUND, CPR REVEST x 30, MJA
100575, CALDE MAG , CALDE MAG, NOT FOUND, CPR REVEST x 60, MJA
