77574, FLUXTAR SR , FLUXTAR SR, NOT FOUND, CAPS 3 MG x 20, DFP
77575, FLUXTAR SR , FLUXTAR SR, NOT FOUND, CAPS 3 MG x 30, DFP
77576, FLUXTAR SR , FLUXTAR SR, NOT FOUND, CAPS 6 MG x 20, DFP
77577, FLUXTAR SR , FLUXTAR SR, NOT FOUND, CAPS 6 MG x 30, DFP
