123182, G-TECH , G TECH, NOT FOUND, APAR MT FREE x 1, AUH
91431, G-TECH , G TECH, NOT FOUND, LANCETAS PRE x 100, AUH
146373, G-TECH FREE1 , G TECH FREE1, NOT FOUND, K TIRA 50+25 x 75, AUH
83992, G-TECH FREE1 , G TECH FREE1, NOT FOUND, KIT MON+T10 x 1, AUH
83989, G-TECH FREE1 , G TECH FREE1, NOT FOUND, TIRAS TESTE x 25, AUH
83991, G-TECH FREE1 , G TECH FREE1, NOT FOUND, TIRAS TESTE x 50, AUH
