501114090022701; EDARBI; EDARBI; NOT FOUND; 40 MG COM CT BL AL AL X 10 ; TAK
501114090022801; EDARBI; EDARBI; NOT FOUND; 40 MG COM CT BL AL AL X 30; TAK
501114090022901; EDARBI; EDARBI; NOT FOUND; 40 MG COM CT BL AL AL X 60 ; TAK
501114090023001; EDARBI; EDARBI; NOT FOUND; 80 MG COM CT BL AL AL X 10 ; TAK
501114090023101; EDARBI; EDARBI; NOT FOUND; 80 MG COM CT BL AL AL X 30; TAK
501114090023201; EDARBI; EDARBI; NOT FOUND; 80 MG COM CT BL AL AL X 60; TAK
