8525, PELOTENSE , PELOTENSE, NOT FOUND, PO 120 G x 1, QUS
32679, PELOTENSE , PELOTENSE, NOT FOUND, PO 80 G x 1, QUS
31961, PELOTENSE , PELOTENSE, NOT FOUND, SABAO 100 G x 1, QUS
