1234, BECOLINA , BECOLINA, NOT FOUND, LIQD 35 ML x 1, KMR
1837, BUKRU BALSAMO , BUKRU BALSAMO, NOT FOUND, XAR. 100 ML x 1, KMR
1838, BUKRU BALSAMO , BUKRU BALSAMO, NOT FOUND, XAR. 200 ML x 1, KMR
