65334; BESFLOX ; BESFLOX; NOT FOUND; CPR REVEST 500 MG x 10; L3B
65335; BESFLOX ; BESFLOX; NOT FOUND; CPR REVEST 500 MG x 14; L3B
65333; BESFLOX ; BESFLOX; NOT FOUND; CPR REVEST 500 MG x 6; L3B
