65324; AMELOVAS ; AMELOVAS; NOT FOUND; CPR 10 MG x 20; L3B
65325; AMELOVAS ; AMELOVAS; NOT FOUND; CPR 10 MG x 30; L3B
65322; AMELOVAS ; AMELOVAS; NOT FOUND; CPR 5 MG x 20; L3B
65323; AMELOVAS ; AMELOVAS; NOT FOUND; CPR 5 MG x 30; L3B
