73039; TAK 500 PLUS CITRU ; TAK 500 PLUS CITRU; NOT FOUND; CPR 500 MG x 50; DV7
77183; TRIATON VIT ; TRIATON VIT; NOT FOUND; CPR REVEST x 100; DV7
77184; TRIATON VIT ; TRIATON VIT; NOT FOUND; CPR REVEST x 30; DV7
77185; TRIATON VIT ; TRIATON VIT; NOT FOUND; CPR REVEST x 60; DV7
