80048, STREPSILS , STREPSILS, NOT FOUND, PAST MEL/LIM 8.75 MG x 16, R0B
93582, STREPSILS , STREPSILS, NOT FOUND, PAST MEL/LIM 8.75 MG x 4, R0B
80049, STREPSILS , STREPSILS, NOT FOUND, PAST MEL/LIM 8.75 MG x 8, R0B
