7974, PANKREOFLAT , PANKREOFLAT, NOT FOUND, DRAG x 20, APS
74448, PANKREOFLAT , PANKREOFLAT, NOT FOUND, DRAG x 30, APS
62092, POSTEC , POSTEC, NOT FOUND, POM. 10 G x 1, APS
74966, POSTEC , POSTEC, NOT FOUND, POM. 20 G x 1, APS
54448, PRIMID , PRIMID, NOT FOUND, CPR 100 MG x 100, APS
63835, PRIMID , PRIMID, NOT FOUND, CPR 250 MG x 20, APS
