48054; GOLD ASPARTAME ; GOLD ASPARTAME; NOT FOUND; LIQD 65 ML x 1; VEP
166135; GOLD ASPARTAME ; GOLD ASPARTAME; NOT FOUND; LIQD L3P2 65 ML x 3; VEP
70064; GOLD ASPARTAME ; GOLD ASPARTAME; NOT FOUND; PO 150 G x 1; VEP
54208; GOLD ASPARTAME ; GOLD ASPARTAME; NOT FOUND; PO 50 G x 1; VEP
68919; GOLD ASPARTAME ; GOLD ASPARTAME; NOT FOUND; POLVO ENVELO 0.80 G x 50; VEP
52889; GOLD ASPARTAME ; GOLD ASPARTAME; NOT FOUND; POLVO ENVELO 1 G x 50; VEP
