52572, TAL E QUAL , TAL E QUAL, NOT FOUND, PO 100 G x 1, VEP
70908, TAL E QUAL , TAL E QUAL, NOT FOUND, PO 133 G x 1, VEP
52571, TAL E QUAL , TAL E QUAL, NOT FOUND, PO 50 G x 1, VEP
70907, TAL E QUAL , TAL E QUAL, NOT FOUND, PO 66 G x 1, VEP
67504, TAL E QUAL , TAL E QUAL, NOT FOUND, POTE 500 G x 1, VEP
