512901103158412; ÁGUA PARA INJETAVEIS TEXON; AGUA PARA INJETAVEIS TEXON; NOT FOUND; SOL INJ IV CX 16 BOLS PVC TRANS SIST FECH X 1000 ML; TXX
512901101155416; ÁGUA PARA INJETAVEIS TEXON; AGUA PARA INJETAVEIS TEXON; NOT FOUND; SOL INJ IV CX 42 BOLS PVC TRANS SIST FECH X 250 ML; TXX
512901102151414; ÁGUA PARA INJETAVEIS TEXON; AGUA PARA INJETAVEIS TEXON; NOT FOUND; SOL INJ IV CX 30 BOLS PVC TRANS SIST FECH X 500 ML; TXX
