1058307260027; QUETIEL; QUETIEL; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 14; GM2
1058307260094; QUETIEL; QUETIEL; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 30; GM2
1058307260140; QUETIEL; QUETIEL; NOT FOUND; 200 MG COM REV CT BL AL PLAS OPC X 30; GM2
