77534; THEODERM ; THEODERM; NOT FOUND; POM. 45 G x 1; SOB
78354; THEOLATE ; THEOLATE; NOT FOUND; SPRAY A/SEPT 30 ML x 1; SOB
77968; THEOSORIN ; THEOSORIN; NOT FOUND; SOL. NASAL 9 MG 30 ML x 1 (/ML); SOB
87990; TINTURA DE JALAPA ; TINTURA JALAPA; NOT FOUND; LIQD 100 ML x 1; SOB
87998; TINTURA DE JALAPA ; TINTURA JALAPA; NOT FOUND; LIQD 200 ML x 1; SOB
88001; TINTURA DE JALAPA ; TINTURA JALAPA; NOT FOUND; LIQD 30 ML x 1; SOB
89511; TINTURA DE JALAPA ; TINTURA JALAPA; NOT FOUND; LIQD 500 ML x 1; SOB
