48896; TENSIOVAL ; TENSIOVAL; NOT FOUND; CPR REVEST 250 MG x 20; SNV
162945; TENSIOVAL ; TENSIOVAL; NOT FOUND; CPR REVEST 250 MG x 500; SNV
48897; TENSIOVAL ; TENSIOVAL; NOT FOUND; CPR REVEST 500 MG x 20; SNV
162448; TENSIOVAL ; TENSIOVAL; NOT FOUND; CPR REVEST 500 MG x 500; SNV
