112698, ESTRIONIL , ESTRIONIL, NOT FOUND, CR.VAG.C/APL 0.10 % 50 G x 1, SNV
48982, ESTROGENON , ESTROGENON, NOT FOUND, CR.VAG.C/APL 0.625 MG 25 G x 1, SNV
58849, ESTROGENON , ESTROGENON, NOT FOUND, DRAG 0.625 MG x 21, SNV
62513, ESTROGENON , ESTROGENON, NOT FOUND, DRAG 0.625 MG x 28, SNV
74097, ESTROGENON , ESTROGENON, NOT FOUND, DRAG 0.625 MG x 525, SNV
