157975; CART MAXX ; CART MAXX; NOT FOUND; CAP SG OC+VE 1000 MG x 150; MXU
153538; CARTILAGEM TUBARAO ; CARTILAGEM TUBARAO; NOT FOUND; CAPS 500 MG x 60; MXU
114281; CLORETO MAGNESIO ; CLORETO MAGNESIO; NOT FOUND; CAPS 500 MG x 60; MXU
153540; COMPLEXO B ; COMPLEXO B; NOT FOUND; CAPS 250 MG x 60; MXU
