77770, SERTERO , SERTERO, NOT FOUND, CPR REVEST 20 MG x 10, ATV
77771, SERTERO , SERTERO, NOT FOUND, CPR REVEST 20 MG x 20, ATV
77772, SERTERO , SERTERO, NOT FOUND, CPR REVEST 20 MG x 30, ATV
70094, SUCC.SUMATRIPTA.MG , SUCC SUMATRIPTA, NOT FOUND, CPR REVEST 100 MG x 2, ATV
70095, SUCC.SUMATRIPTA.MG , SUCC SUMATRIPTA, NOT FOUND, CPR REVEST 50 MG x 2, ATV
77774, SUTRIPTAN , SUTRIPTAN, NOT FOUND, CPR REVEST 100 MG x 2, ATV
77773, SUTRIPTAN , SUTRIPTAN, NOT FOUND, CPR REVEST 50 MG x 2, ATV
