75691; RISLEPTIC ; RISLEPTIC; NOT FOUND; CPR REVEST 1 MG x 20; ATV
75692; RISLEPTIC ; RISLEPTIC; NOT FOUND; CPR REVEST 2 MG x 20; ATV
75693; RISLEPTIC ; RISLEPTIC; NOT FOUND; CPR REVEST 3 MG x 20; ATV
156812; RISPERIDONA MG ; RISPERIDONA; RISPERIDONA; CPR REV 1 MG x 30; ATV
158988; RISPERIDONA MG ; RISPERIDONA; RISPERIDONA; CPR REV 2 MG x 30; ATV
165676; RISPERIDONA MG ; RISPERIDONA; RISPERIDONA; CPR REV 3 MG x 30; ATV
