1181900010019; KELTRINA; KELTRINA; NOT FOUND; 10 MG/ML LOC CX FR PLAS OPC X 60 ML; MB9
1181900010027; KELTRINA; KELTRINA; NOT FOUND; 50 MG/ML LOC CX FR PLAS OPC X 60 ML; MB9
1181900010035; KELTRINA; KELTRINA; NOT FOUND; 10 MG/ML LOC CX 128 FRC PLA OPC X 60 ML; MB9
