1101300340011; MILGEX; MILGEX; NOT FOUND; EFERV 5 GR ABACAXI 50 SACHES; GMK
1101300340044; MILGEX; MILGEX; NOT FOUND; EFERV 5 GR LARANJA 50 SACHES; GMK
1101300160021; MILGEX; MILGEX; NOT FOUND; MENTA 240 ML; GMK
1101300160011; MILGEX; MILGEX; NOT FOUND; MORANGO 240 ML; GMK
1101300200013; MEFLOX; MEFLOX; NOT FOUND; 400 MG 3 COMP; GMK
1101300200021; MEFLOX; MEFLOX; NOT FOUND; 400 MG 7 COMP; GMK
