9253, SABOFEN , SABOFEN, NOT FOUND, SABAO 100 G x 1, GYR
9254, SABOFEN , SABOFEN, NOT FOUND, SABAO 50 G x 1, GYR
64611, SABOFEN , SABOFEN, NOT FOUND, SABAO LIQD 10 % 100 ML x 1, GYR
110370, SKINAL , SKINAL, NOT FOUND, CREME 60 G x 1, GYR
49459, SOL P.V.P.I. , SOL P V P I, NOT FOUND, SOLN TOP. 10 % 30 ML x 1, GYR
