543514060000004, VALTANA, VALTANA, NOT FOUND, 80 MG COM REV CT BL AL PLAS AL AL X 30, MMF
543514060000104, VALTANA, VALTANA, NOT FOUND, 160 MG COM REV CT BL AL PLAS AL AL X 30, MMF
543514060000204, VALTANA, VALTANA, NOT FOUND, 320 MG COM REV CT BL AL PLAS AL AL X 30, MMF
