1047500430014; CIPRAMIL; CIPRAMIL; NOT FOUND; 20 MG COM REV CT BL AL PLAST INC X 7; LUN
1047500430049; CIPRAMIL; CIPRAMIL; NOT FOUND; 40 MG COM REV CT BL AL PLAST INC X 7; LUN
1047500430065; CIPRAMIL; CIPRAMIL; NOT FOUND; 40 MG COM REV CT 2 BL AL PLAST INC X 14; LUN
1047500430022; CIPRAMIL; CIPRAMIL; NOT FOUND; 20 MG COM REV CT BL AL PLAST INC X 14; LUN
1047500430030; CIPRAMIL; CIPRAMIL; NOT FOUND; 20 MG COM REV CT 2 BL AL PLAST INC X 14; LUN
