68578; GUARANA AMAZONAS ; GUARANA AMAZONAS; NOT FOUND; CAPS x 100; S2N
68579; GUARANA AMAZONAS ; GUARANA AMAZONAS; NOT FOUND; CAPS x 20; S2N
32784; GUARANA AMAZONAS ; GUARANA AMAZONAS; NOT FOUND; CAPS x 50; S2N
44529; GUARANA AMAZONAS ; GUARANA AMAZONAS; NOT FOUND; PO 30 G x 1; S2N
