71848, FLUCOTON , FLUCOTON, NOT FOUND, CAPS 100 MG x 8, ROY
69677, FLUCOTON , FLUCOTON, NOT FOUND, CAPS 150 MG x 1, ROY
69678, FLUCOTON , FLUCOTON, NOT FOUND, CAPS 150 MG x 2, ROY
