44149; PACEFLEX ; PACEFLEX; NOT FOUND; CPR x 12; GEM
43828; PACEMOL ; PACEMOL; NOT FOUND; CPR 500 MG x 100; GEM
64927; PACEMOL ; PACEMOL; NOT FOUND; CPR 750 MG x 12; GEM
8245; PEPSIVIT ; PEPSIVIT; NOT FOUND; CPR x 20; GEM
