64254; ZETIA ; ZETIA; NOT FOUND; CPR 10 MG x 10; SP0
64255; ZETIA ; ZETIA; NOT FOUND; CPR 10 MG x 30; SP0
64675; ZETSIM ; ZETSIM; NOT FOUND; CPR 10 MG x 14 (/10); SP0
64676; ZETSIM ; ZETSIM; NOT FOUND; CPR 10 MG x 28 (/10); SP0
64677; ZETSIM ; ZETSIM; NOT FOUND; CPR 20 MG x 14 (/10); SP0
64678; ZETSIM ; ZETSIM; NOT FOUND; CPR 20 MG x 28 (/10); SP0
64679; ZETSIM ; ZETSIM; NOT FOUND; CPR 40 MG x 14 (/10); SP0
74747; ZETSIM ; ZETSIM; NOT FOUND; CPR 40 MG x 28 (/10); SP0
