78446; AGLIX ; AGLIX; NOT FOUND; XAROPE 120 ML x 1; ELO
1059; ATOSSION ; ATOSSION; NOT FOUND; XAR. 100 ML x 1; ELO
1058; ATOSSION ; ATOSSION; NOT FOUND; XAR. INF 60 ML x 1; ELO
