76604, FIBRACIL , FIBRACIL, NOT FOUND, PO 160 G x 1, KFQ
95321, FIBRACIL , FIBRACIL, NOT FOUND, PO 240 G x 1, KFQ
95318, FIBRACIL , FIBRACIL, NOT FOUND, SACHETS 0.80 G x 10, KFQ
76603, FIBRACIL , FIBRACIL, NOT FOUND, SACHETS 0.80 G x 20, KFQ
95320, FIBRACIL , FIBRACIL, NOT FOUND, SACHETS 0.80 G x 30, KFQ
76605, FIGAREX , FIGAREX, NOT FOUND, LIQD 0.67 MG 150 ML x 1 (/ML), KFQ
147837, FIGAREX , FIGAREX, NOT FOUND, LIQD 200 ML x 1, KFQ
