135834; OLEO DE CARTAMO ; OLEO CARTAMO; NOT FOUND; CAPS 1000 MG x 120; ECF
133400; OMEGA 3 ; OMEGA 3; NOT FOUND; CAPS 1000 MG x 100; ECF
150308; OMEGA 3 ; OMEGA 3; NOT FOUND; CAPS 1000 MG x 60; ECF
