68416; D4 ; D4; NOT FOUND; CREME CLAR 30 G x 1; MLR
141217; DUO RETIX ; DUO RETIX; NOT FOUND; GEL CLE LIMP 150 ML x 1; MLR
141212; DUO RETIX ; DUO RETIX; NOT FOUND; GEL P ACNE 30 G x 1; MLR
