534314110001404; MONESSA; MONESSA; NOT FOUND; 60MG + 20MG + 60MG + 100MG + 20MG + 20MG CAP GEL DURA CT BL AL PLAS INC X 30 ; AV7
534314110001504; MONESSA; MONESSA; NOT FOUND; 60MG + 20MG + 60MG + 100MG + 20MG + 20MG CAP GEL DURA CT BL AL PLAS INC X 60 ; AV7
534314110001604; MONESSA; MONESSA; NOT FOUND; 60MG + 20MG + 60MG + 100MG + 20MG + 20MG CAP GEL DURA CT BL AL PLAS INC X 90 ; AV7
