1287600070011; MENOGON; MENOGON; NOT FOUND; 75 UI PO LIOF INJ CT 5 AMP VD INC + 5 AMP VD INC DIL X 1 ML; FER
1287600070021; MENOGON; MENOGON; NOT FOUND; 273MCG/ML PO LIOF INJ CT AMP VD INC+1AMP DILX1ML; FER
1287600110021; MENOPUR; MENOPUR; NOT FOUND; 75 UI PO LIOF INJ CT 5 FA VD INC + 5 AMP DIL VD INC X 1 ML; FER
1287600110013; MENOPUR; MENOPUR; NOT FOUND; 75UI PO LIOF INJ CT FA VD INC+AMP DILX1ML; FER
