1287600030028; CHORAGON; CHORAGON; NOT FOUND; 5000 UI PO LIOF INJ CT 3 AMP VD AMB + 3 AMP DIL X 1 ML (247 MCG=5000 UI); FER
1287600030011; CHORAGON; CHORAGON; NOT FOUND; 1500 UI PO LIOF INJ CT 3 AMP VD AMB + 3 AMP DIL X 1 ML (74 MCG=1500 UI); FER
1287600030044; CHORAGON; CHORAGON; NOT FOUND; 5.000 UI PO LIOF INJ CT 1 AMP VD AMB + 1 AMP DIL X 1 ML (247 MCG=5.000 UI); FER
1287600030036; CHORAGON; CHORAGON; NOT FOUND; 1.500 UI PO LIOF INJ CT 1 AMP VD AMB + 1 AMP DIL X 1 ML (74 MCG=1.500 UI); FER
